Название антенны: П6-23А
Частотный диапазон: 1-12 ГГц
Описание: Широкополосная антенна измерительная П6-23А представляет собой рупорно-линзовую антенну со стандартным коаксиальным соединителем. Антенна предназначена для измерения плотности потока энергии, создания электромагнитного поля с заданной плотностью, измерения параметров антенн различных типов, измерения параметров электромагнитной совместимости радиоэлектронных средств, мониторинга электромагнитной обстановки и пеленгации источников электромагнитного излучения совместно с приёмными устройствами.

№ Строки в Excel  Частотная точка              КСВ
              20             1000            7,263
              40             2000            6,257
              60             3000            9,661
              80             4000            4,384
             100             5000            2,069
             120             6000            2,952
             140             7000            3,559
             160             8000            5,379
             180             9000            1,134
             200            10000            4,958
             220            11000            5,314
             240            12000            9,721
